id,stage,winning_character
314,DREAMLAND,FOX
315,FINAL_DESTINATION,FOX
316,YOSHIS_STORY,FOX
317,YOSHIS_STORY,MARTH
318,POKEMON_STADIUM,MARTH
319,FINAL_DESTINATION,MARTH
320,POKEMON_STADIUM,FOX
321,DREAMLAND,FOX
322,BATTLEFIELD,MARTH
323,YOSHIS_STORY,MARTH
324,FOUNTAIN_OF_DREAMS,FOX
325,FOUNTAIN_OF_DREAMS,MARTH
326,YOSHIS_STORY,MARTH
327,FOUNTAIN_OF_DREAMS,MARTH
328,FOUNTAIN_OF_DREAMS,FOX
329,POKEMON_STADIUM,FOX
330,DREAMLAND,FOX
331,YOSHIS_STORY,FOX
332,POKEMON_STADIUM,MARTH
333,FOUNTAIN_OF_DREAMS,FOX
334,POKEMON_STADIUM,FOX
335,YOSHIS_STORY,MARTH
336,FOUNTAIN_OF_DREAMS,FOX
337,FINAL_DESTINATION,FOX
338,YOSHIS_STORY,MARTH
339,POKEMON_STADIUM,MARTH
340,YOSHIS_STORY,FOX
341,YOSHIS_STORY,FOX
342,FINAL_DESTINATION,FOX
343,DREAMLAND,FOX
344,BATTLEFIELD,FOX
345,FOUNTAIN_OF_DREAMS,MARTH
346,DREAMLAND,FOX
347,FINAL_DESTINATION,FOX
348,YOSHIS_STORY,MARTH
349,FOUNTAIN_OF_DREAMS,MARTH
350,FOUNTAIN_OF_DREAMS,FOX
351,FINAL_DESTINATION,MARTH
352,FOUNTAIN_OF_DREAMS,FOX
353,BATTLEFIELD,FOX
354,FOUNTAIN_OF_DREAMS,FOX
355,FINAL_DESTINATION,FOX
356,BATTLEFIELD,FOX
357,FINAL_DESTINATION,FOX
358,YOSHIS_STORY,MARTH
359,YOSHIS_STORY,MARTH
360,FOUNTAIN_OF_DREAMS,FOX
361,DREAMLAND,MARTH
362,DREAMLAND,MARTH
363,DREAMLAND,MARTH
364,FOUNTAIN_OF_DREAMS,FOX
365,FINAL_DESTINATION,MARTH
366,YOSHIS_STORY,FOX
367,POKEMON_STADIUM,MARTH
368,BATTLEFIELD,FOX
369,DREAMLAND,FOX
370,BATTLEFIELD,MARTH
371,BATTLEFIELD,FOX
372,POKEMON_STADIUM,MARTH
373,FOUNTAIN_OF_DREAMS,MARTH
374,POKEMON_STADIUM,MARTH
375,YOSHIS_STORY,MARTH
376,FOUNTAIN_OF_DREAMS,MARTH
377,FINAL_DESTINATION,FOX
378,DREAMLAND,MARTH
379,BATTLEFIELD,MARTH
380,BATTLEFIELD,FOX
381,BATTLEFIELD,MARTH
382,YOSHIS_STORY,FOX
383,FINAL_DESTINATION,FOX
384,FOUNTAIN_OF_DREAMS,MARTH
385,BATTLEFIELD,MARTH
386,YOSHIS_STORY,MARTH
387,FINAL_DESTINATION,FOX
388,DREAMLAND,MARTH
389,YOSHIS_STORY,FOX
390,YOSHIS_STORY,FOX
391,BATTLEFIELD,FOX
392,YOSHIS_STORY,FOX
393,BATTLEFIELD,FOX
394,DREAMLAND,FOX
395,BATTLEFIELD,MARTH
396,DREAMLAND,MARTH
397,BATTLEFIELD,FOX
398,BATTLEFIELD,FOX
399,POKEMON_STADIUM,FOX
400,FOUNTAIN_OF_DREAMS,FOX
401,DREAMLAND,FOX
402,FOUNTAIN_OF_DREAMS,FOX
403,POKEMON_STADIUM,MARTH
404,YOSHIS_STORY,MARTH
405,FOUNTAIN_OF_DREAMS,MARTH
406,FOUNTAIN_OF_DREAMS,MARTH
407,YOSHIS_STORY,FOX
408,FINAL_DESTINATION,MARTH
409,BATTLEFIELD,FOX
410,FINAL_DESTINATION,FOX
411,FOUNTAIN_OF_DREAMS,FOX
412,FOUNTAIN_OF_DREAMS,FOX
413,BATTLEFIELD,FOX
414,YOSHIS_STORY,FOX
415,DREAMLAND,MARTH
416,DREAMLAND,FOX
417,POKEMON_STADIUM,FOX
418,YOSHIS_STORY,FOX
419,BATTLEFIELD,MARTH
420,BATTLEFIELD,MARTH
421,FOUNTAIN_OF_DREAMS,FOX
422,FINAL_DESTINATION,FOX
423,FINAL_DESTINATION,FOX
424,DREAMLAND,MARTH
425,POKEMON_STADIUM,MARTH
426,FOUNTAIN_OF_DREAMS,MARTH
427,BATTLEFIELD,MARTH
428,BATTLEFIELD,FOX
429,DREAMLAND,FOX
430,FINAL_DESTINATION,FOX
431,FOUNTAIN_OF_DREAMS,FOX
432,FINAL_DESTINATION,MARTH
433,YOSHIS_STORY,FOX
434,FINAL_DESTINATION,MARTH
435,BATTLEFIELD,MARTH
436,YOSHIS_STORY,MARTH
437,FINAL_DESTINATION,MARTH
438,FOUNTAIN_OF_DREAMS,MARTH
439,YOSHIS_STORY,FOX
440,DREAMLAND,FOX
441,BATTLEFIELD,FOX
442,FINAL_DESTINATION,FOX
443,YOSHIS_STORY,FOX
444,POKEMON_STADIUM,MARTH
445,FINAL_DESTINATION,FOX
446,DREAMLAND,FOX
447,BATTLEFIELD,FOX
448,FINAL_DESTINATION,FOX
449,YOSHIS_STORY,MARTH
450,POKEMON_STADIUM,FOX
451,YOSHIS_STORY,FOX
452,DREAMLAND,FOX
453,FOUNTAIN_OF_DREAMS,FOX
454,FINAL_DESTINATION,FOX
455,YOSHIS_STORY,FOX
456,FOUNTAIN_OF_DREAMS,FOX
457,YOSHIS_STORY,MARTH
458,BATTLEFIELD,FOX
459,BATTLEFIELD,FOX
460,BATTLEFIELD,FOX
461,POKEMON_STADIUM,FOX
462,POKEMON_STADIUM,MARTH
463,FINAL_DESTINATION,MARTH
464,FINAL_DESTINATION,FOX
465,YOSHIS_STORY,FOX
466,DREAMLAND,MARTH
467,YOSHIS_STORY,FOX
468,FINAL_DESTINATION,MARTH
469,DREAMLAND,MARTH
470,FINAL_DESTINATION,MARTH
471,DREAMLAND,FOX
472,BATTLEFIELD,FOX
473,FOUNTAIN_OF_DREAMS,FOX
474,FINAL_DESTINATION,FOX
475,FOUNTAIN_OF_DREAMS,MARTH
476,FOUNTAIN_OF_DREAMS,MARTH
477,BATTLEFIELD,MARTH
478,FOUNTAIN_OF_DREAMS,MARTH
479,DREAMLAND,FOX
480,POKEMON_STADIUM,MARTH
481,BATTLEFIELD,MARTH
482,FOUNTAIN_OF_DREAMS,FOX
483,YOSHIS_STORY,MARTH
484,FINAL_DESTINATION,MARTH
485,FINAL_DESTINATION,FOX
486,POKEMON_STADIUM,MARTH
487,YOSHIS_STORY,FOX
488,POKEMON_STADIUM,FOX
489,YOSHIS_STORY,MARTH
490,POKEMON_STADIUM,FOX
491,YOSHIS_STORY,FOX
492,DREAMLAND,MARTH
493,BATTLEFIELD,FOX
494,BATTLEFIELD,FOX
495,FOUNTAIN_OF_DREAMS,MARTH
496,FOUNTAIN_OF_DREAMS,MARTH
497,YOSHIS_STORY,MARTH
498,POKEMON_STADIUM,MARTH
499,FOUNTAIN_OF_DREAMS,FOX
500,DREAMLAND,FOX
501,FINAL_DESTINATION,FOX
502,YOSHIS_STORY,MARTH
503,POKEMON_STADIUM,FOX
504,POKEMON_STADIUM,FOX
505,FOUNTAIN_OF_DREAMS,MARTH
506,YOSHIS_STORY,MARTH
507,DREAMLAND,FOX
508,FINAL_DESTINATION,FOX
509,BATTLEFIELD,FOX
510,BATTLEFIELD,FOX
511,FOUNTAIN_OF_DREAMS,FOX
512,FOUNTAIN_OF_DREAMS,MARTH
513,BATTLEFIELD,FOX
514,FOUNTAIN_OF_DREAMS,MARTH
515,BATTLEFIELD,MARTH
516,YOSHIS_STORY,MARTH
517,POKEMON_STADIUM,MARTH
518,YOSHIS_STORY,FOX
519,POKEMON_STADIUM,MARTH
520,FINAL_DESTINATION,MARTH
521,FOUNTAIN_OF_DREAMS,MARTH
522,FINAL_DESTINATION,MARTH
523,YOSHIS_STORY,MARTH
524,DREAMLAND,MARTH
525,POKEMON_STADIUM,FOX
526,FOUNTAIN_OF_DREAMS,MARTH
527,YOSHIS_STORY,MARTH
528,POKEMON_STADIUM,FOX
529,FOUNTAIN_OF_DREAMS,FOX
530,YOSHIS_STORY,MARTH
531,FINAL_DESTINATION,MARTH
532,BATTLEFIELD,FOX
533,POKEMON_STADIUM,MARTH
534,DREAMLAND,FOX
535,POKEMON_STADIUM,FOX
536,FOUNTAIN_OF_DREAMS,MARTH
537,YOSHIS_STORY,FOX
538,YOSHIS_STORY,FOX
539,POKEMON_STADIUM,FOX
540,YOSHIS_STORY,MARTH
541,POKEMON_STADIUM,MARTH
542,FOUNTAIN_OF_DREAMS,MARTH
543,DREAMLAND,FOX
544,FOUNTAIN_OF_DREAMS,MARTH
545,BATTLEFIELD,MARTH
546,POKEMON_STADIUM,MARTH
547,DREAMLAND,MARTH
548,FINAL_DESTINATION,MARTH
549,YOSHIS_STORY,MARTH
550,FOUNTAIN_OF_DREAMS,MARTH
551,BATTLEFIELD,FOX
552,YOSHIS_STORY,FOX
553,YOSHIS_STORY,FOX
554,POKEMON_STADIUM,MARTH
555,BATTLEFIELD,MARTH
556,YOSHIS_STORY,FOX
557,DREAMLAND,FOX
558,FINAL_DESTINATION,FOX
559,BATTLEFIELD,MARTH
560,POKEMON_STADIUM,FOX
561,BATTLEFIELD,FOX
562,YOSHIS_STORY,FOX
563,YOSHIS_STORY,MARTH
564,FOUNTAIN_OF_DREAMS,FOX
565,FINAL_DESTINATION,MARTH
566,FOUNTAIN_OF_DREAMS,FOX
567,FINAL_DESTINATION,FOX
568,FINAL_DESTINATION,MARTH
569,YOSHIS_STORY,FOX
570,DREAMLAND,FOX
571,FOUNTAIN_OF_DREAMS,FOX
572,POKEMON_STADIUM,FOX
573,FOUNTAIN_OF_DREAMS,FOX
574,POKEMON_STADIUM,MARTH
575,BATTLEFIELD,FOX
576,BATTLEFIELD,MARTH
577,FINAL_DESTINATION,FOX
578,BATTLEFIELD,MARTH
579,BATTLEFIELD,FOX
580,POKEMON_STADIUM,MARTH
581,BATTLEFIELD,MARTH
582,YOSHIS_STORY,MARTH
583,YOSHIS_STORY,FOX
584,BATTLEFIELD,FOX
585,YOSHIS_STORY,FOX
586,YOSHIS_STORY,MARTH
587,YOSHIS_STORY,MARTH
588,POKEMON_STADIUM,MARTH
589,BATTLEFIELD,MARTH
590,DREAMLAND,MARTH
591,DREAMLAND,MARTH
592,BATTLEFIELD,MARTH
593,POKEMON_STADIUM,FOX
594,POKEMON_STADIUM,FOX
595,YOSHIS_STORY,MARTH
596,DREAMLAND,MARTH
597,FINAL_DESTINATION,FOX
598,POKEMON_STADIUM,MARTH
599,FINAL_DESTINATION,MARTH
600,FOUNTAIN_OF_DREAMS,MARTH
601,FINAL_DESTINATION,FOX
602,YOSHIS_STORY,FOX
603,DREAMLAND,MARTH
604,POKEMON_STADIUM,FOX
605,BATTLEFIELD,MARTH
606,POKEMON_STADIUM,FOX
607,YOSHIS_STORY,MARTH
608,FINAL_DESTINATION,MARTH
609,DREAMLAND,FOX
610,FINAL_DESTINATION,FOX
611,POKEMON_STADIUM,MARTH
612,FOUNTAIN_OF_DREAMS,FOX
613,POKEMON_STADIUM,MARTH
614,POKEMON_STADIUM,FOX
615,POKEMON_STADIUM,FOX
616,BATTLEFIELD,FOX
617,DREAMLAND,FOX
618,YOSHIS_STORY,MARTH
619,POKEMON_STADIUM,FOX
620,BATTLEFIELD,MARTH
621,DREAMLAND,MARTH
622,FINAL_DESTINATION,MARTH
623,FINAL_DESTINATION,MARTH
624,FINAL_DESTINATION,MARTH
625,DREAMLAND,MARTH
626,BATTLEFIELD,MARTH
627,POKEMON_STADIUM,FOX
628,FOUNTAIN_OF_DREAMS,MARTH
629,DREAMLAND,FOX
630,YOSHIS_STORY,MARTH
631,POKEMON_STADIUM,MARTH
632,DREAMLAND,FOX
633,POKEMON_STADIUM,MARTH
634,BATTLEFIELD,FOX
635,YOSHIS_STORY,MARTH
636,FINAL_DESTINATION,FOX
637,POKEMON_STADIUM,MARTH
638,DREAMLAND,MARTH
639,FINAL_DESTINATION,FOX
640,BATTLEFIELD,FOX
641,FOUNTAIN_OF_DREAMS,FOX
642,POKEMON_STADIUM,MARTH
643,FINAL_DESTINATION,FOX
644,FOUNTAIN_OF_DREAMS,MARTH
645,POKEMON_STADIUM,MARTH
646,YOSHIS_STORY,MARTH
647,POKEMON_STADIUM,MARTH
648,YOSHIS_STORY,FOX
649,FOUNTAIN_OF_DREAMS,MARTH
650,FINAL_DESTINATION,MARTH
651,POKEMON_STADIUM,MARTH
652,YOSHIS_STORY,MARTH
653,YOSHIS_STORY,MARTH
654,FINAL_DESTINATION,MARTH
655,POKEMON_STADIUM,FOX
656,DREAMLAND,FOX
657,DREAMLAND,FOX
658,FINAL_DESTINATION,FOX
659,BATTLEFIELD,MARTH
660,YOSHIS_STORY,FOX
661,FOUNTAIN_OF_DREAMS,FOX
662,FINAL_DESTINATION,MARTH
663,BATTLEFIELD,FOX
664,YOSHIS_STORY,MARTH
665,FINAL_DESTINATION,FOX
666,POKEMON_STADIUM,MARTH
667,BATTLEFIELD,FOX
668,DREAMLAND,MARTH
669,BATTLEFIELD,FOX
670,FOUNTAIN_OF_DREAMS,FOX
671,FOUNTAIN_OF_DREAMS,MARTH
672,FINAL_DESTINATION,MARTH
673,YOSHIS_STORY,MARTH
674,BATTLEFIELD,MARTH
675,DREAMLAND,FOX
676,POKEMON_STADIUM,MARTH
677,FINAL_DESTINATION,MARTH
678,FOUNTAIN_OF_DREAMS,MARTH
679,FINAL_DESTINATION,MARTH
680,BATTLEFIELD,FOX
681,BATTLEFIELD,MARTH
682,DREAMLAND,FOX
683,YOSHIS_STORY,FOX
684,BATTLEFIELD,FOX
685,FOUNTAIN_OF_DREAMS,MARTH
686,FOUNTAIN_OF_DREAMS,FOX
687,POKEMON_STADIUM,FOX
688,DREAMLAND,FOX
689,DREAMLAND,FOX
690,YOSHIS_STORY,FOX
691,FOUNTAIN_OF_DREAMS,FOX
692,FINAL_DESTINATION,FOX
693,FINAL_DESTINATION,FOX
694,DREAMLAND,MARTH
695,POKEMON_STADIUM,MARTH
696,BATTLEFIELD,FOX
697,DREAMLAND,FOX
698,FINAL_DESTINATION,FOX
699,BATTLEFIELD,FOX
700,FINAL_DESTINATION,MARTH
701,POKEMON_STADIUM,FOX
702,POKEMON_STADIUM,FOX
703,FOUNTAIN_OF_DREAMS,FOX
704,YOSHIS_STORY,FOX
705,YOSHIS_STORY,FOX
706,YOSHIS_STORY,FOX
707,FOUNTAIN_OF_DREAMS,FOX
708,FINAL_DESTINATION,FOX
709,FOUNTAIN_OF_DREAMS,FOX
710,YOSHIS_STORY,FOX
711,POKEMON_STADIUM,MARTH
712,FINAL_DESTINATION,FOX
713,FOUNTAIN_OF_DREAMS,FOX
714,YOSHIS_STORY,MARTH
715,POKEMON_STADIUM,MARTH
716,FOUNTAIN_OF_DREAMS,MARTH
717,DREAMLAND,FOX
718,DREAMLAND,FOX
719,DREAMLAND,FOX
720,POKEMON_STADIUM,FOX
721,YOSHIS_STORY,FOX
722,FINAL_DESTINATION,MARTH
723,BATTLEFIELD,MARTH
724,BATTLEFIELD,FOX
725,DREAMLAND,MARTH
726,FINAL_DESTINATION,MARTH
727,FINAL_DESTINATION,FOX
728,POKEMON_STADIUM,MARTH
729,BATTLEFIELD,FOX
730,FOUNTAIN_OF_DREAMS,FOX
731,YOSHIS_STORY,FOX
732,YOSHIS_STORY,MARTH
733,YOSHIS_STORY,MARTH
734,POKEMON_STADIUM,FOX
735,POKEMON_STADIUM,FOX
736,FINAL_DESTINATION,MARTH
737,DREAMLAND,FOX
738,DREAMLAND,FOX
739,FOUNTAIN_OF_DREAMS,FOX
740,FINAL_DESTINATION,FOX
741,BATTLEFIELD,FOX
742,BATTLEFIELD,MARTH
743,DREAMLAND,MARTH
744,YOSHIS_STORY,FOX
745,BATTLEFIELD,MARTH
746,YOSHIS_STORY,FOX
747,FINAL_DESTINATION,MARTH
748,FOUNTAIN_OF_DREAMS,MARTH
749,FINAL_DESTINATION,MARTH
750,YOSHIS_STORY,MARTH
751,FOUNTAIN_OF_DREAMS,FOX
752,POKEMON_STADIUM,MARTH
753,BATTLEFIELD,MARTH
754,BATTLEFIELD,FOX
755,BATTLEFIELD,MARTH
756,POKEMON_STADIUM,MARTH
757,FINAL_DESTINATION,MARTH
758,YOSHIS_STORY,MARTH
759,BATTLEFIELD,FOX
760,POKEMON_STADIUM,FOX
761,FOUNTAIN_OF_DREAMS,FOX
762,FOUNTAIN_OF_DREAMS,MARTH
763,BATTLEFIELD,MARTH
764,POKEMON_STADIUM,FOX
